Make,Model,Year,Engine Cylinders,Driven Wheels,Price
BMW,1 Series M,2011,6,rwd,46135
BMW,1 Series,2011,6,rwd,40650
BMW,1 Series,2011,6,rwd,36350
BMW,1 Series,2011,6,rwd,29450
BMW,1 Series,2011,6,rwd,34500
BMW,1 Series,2012,6,rwd,31200
BMW,1 Series,2012,6,rwd,44100
BMW,1 Series,2012,6,rwd,39300
BMW,1 Series,2012,6,rwd,36900
BMW,1 Series,2013,6,rwd,37200
BMW,1 Series,2013,6,rwd,39600
BMW,1 Series,2013,6,rwd,31500
BMW,1 Series,2013,6,rwd,44400
BMW,1 Series,2013,6,rwd,37200
BMW,1 Series,2013,6,rwd,31500
BMW,1 Series,2013,6,rwd,48250
BMW,1 Series,2013,6,rwd,43550
Audi,100,1992,6,fwd,2000
Audi,100,1992,6,fwd,2000
Audi,100,1992,6,4wd,2000
Audi,100,1992,6,fwd,2000
Audi,100,1992,6,4wd,2000
Audi,100,1993,6,fwd,2000
Audi,100,1993,6,4wd,2000
Audi,100,1993,6,fwd,2000
Audi,100,1993,6,fwd,2000
Audi,100,1993,6,4wd,2000
Audi,100,1994,6,fwd,2000
Audi,100,1994,6,4wd,2000
Audi,100,1994,6,fwd,2000
Audi,100,1994,6,fwd,2000
Audi,100,1994,6,4wd,2000
FIAT,124 Spider,2017,4,rwd,27495
FIAT,124 Spider,2017,4,rwd,24995
FIAT,124 Spider,2017,4,rwd,28195
Mercedes-Benz,190-Class,1991,4,rwd,2000
Mercedes-Benz,190-Class,1991,6,rwd,2000
Mercedes-Benz,190-Class,1992,6,rwd,2000
Mercedes-Benz,190-Class,1992,4,rwd,2000
Mercedes-Benz,190-Class,1993,4,rwd,2000
Mercedes-Benz,190-Class,1993,6,rwd,2000
BMW,2 Series,2016,4,rwd,32850
BMW,2 Series,2016,4,rwd,38650
BMW,2 Series,2016,6,rwd,48750
BMW,2 Series,2016,4,4wd,34850
BMW,2 Series,2016,4,4wd,40650
BMW,2 Series,2016,6,rwd,44150
BMW,2 Series,2016,4,rwd,32850
BMW,2 Series,2016,6,4wd,46150
BMW,2 Series,2016,6,rwd,50750
BMW,2 Series,2017,6,4wd,46450
BMW,2 Series,2017,6,rwd,49050
BMW,2 Series,2017,6,4wd,51050
BMW,2 Series,2017,6,rwd,44450
BMW,2 Series,2017,4,rwd,38950
BMW,2 Series,2017,4,rwd,33150
BMW,2 Series,2017,4,4wd,35150
BMW,2 Series,2017,4,4wd,40950
Audi,200,1990,5,fwd,2000
Audi,200,1990,5,4wd,2000
Audi,200,1990,5,4wd,2000
Audi,200,1991,5,4wd,2000
Audi,200,1991,5,4wd,2000
Audi,200,1991,5,fwd,2000
Chrysler,200,2015,4,fwd,25170
Chrysler,200,2015,4,fwd,23950
Chrysler,200,2015,6,4wd,29370
Chrysler,200,2015,4,fwd,21995
Chrysler,200,2015,4,fwd,26625
Chrysler,200,2015,6,4wd,30825
Chrysler,200,2016,4,fwd,21995
Chrysler,200,2016,4,fwd,27795
Chrysler,200,2016,6,4wd,31785
Chrysler,200,2016,6,4wd,29905
Chrysler,200,2016,4,fwd,22490
Chrysler,200,2016,4,fwd,27570
Chrysler,200,2016,4,fwd,25690
Chrysler,200,2016,4,fwd,24490
Chrysler,200,2017,6,4wd,29905
Chrysler,200,2017,6,4wd,31785
Chrysler,200,2017,4,fwd,26685
Chrysler,200,2017,4,fwd,22490
Chrysler,200,2017,4,fwd,25690
Chrysler,200,2017,6,4wd,30900
Chrysler,200,2017,4,fwd,27795
Chrysler,200,2017,4,fwd,21995
Chrysler,200,2017,4,fwd,24490
Nissan,200SX,1996,4,fwd,2000
Nissan,200SX,1996,4,fwd,2000
Nissan,200SX,1996,4,fwd,2000
Nissan,200SX,1997,4,fwd,2000
Nissan,200SX,1997,4,fwd,2000
Nissan,200SX,1997,4,fwd,2000
Nissan,200SX,1998,4,fwd,2000
Nissan,200SX,1998,4,fwd,2000
Nissan,200SX,1998,4,fwd,2073
Nissan,240SX,1996,4,rwd,3713
Nissan,240SX,1996,4,rwd,3520
Nissan,240SX,1997,4,rwd,3910
Nissan,240SX,1997,4,rwd,4182
Nissan,240SX,1997,4,rwd,4107
Nissan,240SX,1998,4,rwd,4299
Nissan,240SX,1998,4,rwd,4693
Nissan,240SX,1998,4,rwd,4107
Volvo,240,1991,4,rwd,2000
Volvo,240,1991,4,rwd,2000
Volvo,240,1991,4,rwd,2000
Volvo,240,1992,4,rwd,2000
Volvo,240,1992,4,rwd,2000
Volvo,240,1992,4,rwd,2000
Volvo,240,1993,4,rwd,2000
Volvo,240,1993,4,rwd,2000
Mazda,2,2012,4,fwd,16020
Mazda,2,2012,4,fwd,14530
Mazda,2,2012,4,fwd,16860
Mazda,2,2012,4,fwd,15370
Mazda,2,2013,4,fwd,17050
Mazda,2,2013,4,fwd,15560
Mazda,2,2013,4,fwd,16210
Mazda,2,2013,4,fwd,14720
Mazda,2,2014,4,fwd,17050
Mazda,2,2014,4,fwd,15560
Mazda,2,2014,4,fwd,16210
Mazda,2,2014,4,fwd,14720
BMW,3 Series Gran Turismo,2015,6,4wd,47250
BMW,3 Series Gran Turismo,2015,4,4wd,41850
BMW,3 Series Gran Turismo,2015,4,4wd,41850
BMW,3 Series Gran Turismo,2016,4,4wd,43000
BMW,3 Series Gran Turismo,2016,6,4wd,49200
BMW,3 Series Gran Turismo,2017,6,4wd,49650
BMW,3 Series Gran Turismo,2017,4,4wd,43950
BMW,3 Series,2015,4,4wd,41950
BMW,3 Series,2015,6,rwd,50150
BMW,3 Series,2015,4,rwd,37500
BMW,3 Series,2015,6,rwd,43750
BMW,3 Series,2015,4,rwd,39000
BMW,3 Series,2015,4,4wd,39500
BMW,3 Series,2015,4,4wd,39500
BMW,3 Series,2015,4,4wd,34950
BMW,3 Series,2015,6,4wd,45750
BMW,3 Series,2015,4,4wd,43450
BMW,3 Series,2015,4,rwd,37500
BMW,3 Series,2015,4,4wd,41000
BMW,3 Series,2015,4,rwd,32950
BMW,3 Series,2016,4,4wd,41850
BMW,3 Series,2016,6,4wd,47800
BMW,3 Series,2016,4,rwd,39850
BMW,3 Series,2016,4,rwd,38350
BMW,3 Series,2016,4,4wd,40350
BMW,3 Series,2016,4,rwd,38350
BMW,3 Series,2016,4,4wd,42650
BMW,3 Series,2016,4,rwd,33150
BMW,3 Series,2016,4,4wd,35150
BMW,3 Series,2016,4,4wd,44150
BMW,3 Series,2016,6,rwd,45800
BMW,3 Series,2017,4,rwd,38750
BMW,3 Series,2017,4,4wd,35450
BMW,3 Series,2017,4,rwd,33450
BMW,3 Series,2017,4,4wd,40750
BMW,3 Series,2017,4,4wd,42250
BMW,3 Series,2017,4,4wd,42950
BMW,3 Series,2017,4,rwd,40250
BMW,3 Series,2017,6,4wd,49900
BMW,3 Series,2017,6,rwd,47900
BMW,3 Series,2017,4,4wd,44450
Mercedes-Benz,300-Class,1991,6,rwd,2232
Mercedes-Benz,300-Class,1991,6,rwd,2000
Mercedes-Benz,300-Class,1991,6,rwd,2000
Mercedes-Benz,300-Class,1991,6,4wd,2105
Mercedes-Benz,300-Class,1991,6,4wd,2199
Mercedes-Benz,300-Class,1991,6,rwd,2000
Mercedes-Benz,300-Class,1991,6,rwd,2124
Mercedes-Benz,300-Class,1991,6,rwd,3552
Mercedes-Benz,300-Class,1991,6,rwd,2179
Mercedes-Benz,300-Class,1991,5,rwd,2000
Mercedes-Benz,300-Class,1992,5,rwd,2000
Mercedes-Benz,300-Class,1992,6,rwd,2377
Mercedes-Benz,300-Class,1992,6,rwd,3814
Mercedes-Benz,300-Class,1992,6,4wd,2207
Mercedes-Benz,300-Class,1992,6,rwd,2000
Mercedes-Benz,300-Class,1992,6,rwd,2248
Mercedes-Benz,300-Class,1992,6,rwd,2065
Mercedes-Benz,300-Class,1992,6,rwd,2547
Mercedes-Benz,300-Class,1992,6,4wd,2282
Mercedes-Benz,300-Class,1992,6,rwd,2000
Mercedes-Benz,300-Class,1993,6,4wd,2544
Mercedes-Benz,300-Class,1993,6,rwd,2397
Mercedes-Benz,300-Class,1993,5,rwd,2000
Mercedes-Benz,300-Class,1993,6,rwd,4174
Mercedes-Benz,300-Class,1993,6,rwd,2187
Mercedes-Benz,300-Class,1993,6,rwd,2729
Mercedes-Benz,300-Class,1993,6,4wd,2433
Mercedes-Benz,300-Class,1993,6,rwd,2247
Mercedes-Benz,300-Class,1993,6,rwd,2540
Mitsubishi,3000GT,1997,6,fwd,3941
Mitsubishi,3000GT,1997,6,fwd,3295
Mitsubishi,3000GT,1997,6,4wd,6008
Mitsubishi,3000GT,1998,6,4wd,6710
Mitsubishi,3000GT,1998,6,fwd,3701
Mitsubishi,3000GT,1998,6,fwd,4671
Mitsubishi,3000GT,1999,6,fwd,5306
Mitsubishi,3000GT,1999,6,4wd,7600
Mitsubishi,3000GT,1999,6,fwd,4090
Chrysler,300,2015,6,4wd,37570
Chrysler,300,2015,6,rwd,31695
Chrysler,300,2015,6,rwd,38070
Chrysler,300,2015,6,4wd,44895
Chrysler,300,2015,6,rwd,35070
Chrysler,300,2015,6,rwd,42395
Chrysler,300,2015,6,4wd,34195
Chrysler,300,2015,6,4wd,40570
Chrysler,300,2016,6,4wd,38095
Chrysler,300,2016,6,rwd,35595
Chrysler,300,2016,6,4wd,45190
Chrysler,300,2016,6,rwd,32260
Chrysler,300,2016,6,4wd,37755
Chrysler,300,2016,6,4wd,41055
Chrysler,300,2016,6,rwd,36090
Chrysler,300,2016,6,rwd,42690
Chrysler,300,2016,6,rwd,38555
Chrysler,300,2016,6,rwd,35255
Chrysler,300,2016,6,4wd,38590
Chrysler,300,2016,6,4wd,34760
Chrysler,300,2017,6,4wd,41135
Chrysler,300,2017,6,4wd,45270
Chrysler,300,2017,6,4wd,38670
Chrysler,300,2017,6,rwd,38635
Chrysler,300,2017,6,rwd,36170
Chrysler,300,2017,6,4wd,38175
Chrysler,300,2017,6,rwd,32340
Chrysler,300,2017,6,rwd,42770
Chrysler,300,2017,6,4wd,34840
Chrysler,300,2017,6,rwd,35675
Chrysler,300M,2002,6,fwd,32065
Chrysler,300M,2002,6,fwd,28540
Chrysler,300M,2003,6,fwd,32315
Chrysler,300M,2003,6,fwd,28885
Chrysler,300M,2004,6,fwd,29185
Chrysler,300M,2004,6,fwd,32615
Nissan,300ZX,1994,6,rwd,2847
Nissan,300ZX,1994,6,rwd,2488
Nissan,300ZX,1994,6,rwd,2683
Nissan,300ZX,1994,6,rwd,2553
Nissan,300ZX,1995,6,rwd,3049
Nissan,300ZX,1995,6,rwd,2774
Nissan,300ZX,1995,6,rwd,2702
Nissan,300ZX,1995,6,rwd,3101
Nissan,300ZX,1996,6,rwd,3510
Nissan,300ZX,1996,6,rwd,3107
Nissan,300ZX,1996,6,rwd,3624
Nissan,300ZX,1996,6,rwd,3185
Mazda,323,1992,4,fwd,2000
Mazda,323,1992,4,fwd,2000
Mazda,323,1993,4,fwd,2000
Mazda,323,1993,4,fwd,2000
Mazda,323,1994,4,fwd,2000
Mercedes-Benz,350-Class,1990,6,rwd,2144
Mercedes-Benz,350-Class,1990,6,rwd,2098
Mercedes-Benz,350-Class,1991,6,rwd,2178
Mercedes-Benz,350-Class,1991,6,rwd,2311
Nissan,350Z,2007,6,rwd,36550
Nissan,350Z,2007,6,rwd,41250
Nissan,350Z,2007,6,rwd,30600
Nissan,350Z,2007,6,rwd,37100
Nissan,350Z,2007,6,rwd,27900
Nissan,350Z,2007,6,rwd,32700
Nissan,350Z,2007,6,rwd,40250
Nissan,350Z,2007,6,rwd,35550
Nissan,350Z,2007,6,rwd,36100
Nissan,350Z,2007,6,rwd,33200
Nissan,350Z,2007,6,rwd,37900
Nissan,350Z,2007,6,rwd,29600
Nissan,350Z,2007,6,rwd,38070
Nissan,350Z,2007,6,rwd,38900
Nissan,350Z,2008,6,rwd,33840
Nissan,350Z,2008,6,rwd,38630
Nissan,350Z,2008,6,rwd,39630
Nissan,350Z,2008,6,rwd,37740
Nissan,350Z,2008,6,rwd,41980
Nissan,350Z,2008,6,rwd,36280
Nissan,350Z,2008,6,rwd,36740
Nissan,350Z,2008,6,rwd,40980
Nissan,350Z,2008,6,rwd,38680
Nissan,350Z,2008,6,rwd,28510
Nissan,350Z,2008,6,rwd,30210
Nissan,350Z,2008,6,rwd,31210
Nissan,350Z,2008,6,rwd,33340
Nissan,350Z,2008,6,rwd,37280
Nissan,350Z,2009,6,rwd,41570
Nissan,350Z,2009,6,rwd,36870
Nissan,350Z,2009,6,rwd,42570
Nissan,350Z,2009,6,rwd,37870
Nissan,350Z,2009,6,rwd,39220
Nissan,350Z,2009,6,rwd,40220
Ferrari,360,2002,8,rwd,160829
Ferrari,360,2002,8,rwd,140615
Ferrari,360,2002,8,rwd,150694
Ferrari,360,2002,8,rwd,170829
Ferrari,360,2003,8,rwd,165986
Ferrari,360,2003,8,rwd,154090
Ferrari,360,2003,8,rwd,143860
Ferrari,360,2003,8,rwd,176287
Ferrari,360,2004,8,rwd,157767
Ferrari,360,2004,8,rwd,187124
Ferrari,360,2004,8,rwd,147332
Ferrari,360,2004,8,rwd,169900
Ferrari,360,2004,8,rwd,180408
Nissan,370Z,2015,6,rwd,46790
Nissan,370Z,2015,6,rwd,48100
Nissan,370Z,2015,6,rwd,29990
Nissan,370Z,2015,6,rwd,41820
Nissan,370Z,2015,6,rwd,31290
Nissan,370Z,2015,6,rwd,34870
Nissan,370Z,2015,6,rwd,33570
Nissan,370Z,2015,6,rwd,46570
Nissan,370Z,2015,6,rwd,37970
Nissan,370Z,2015,6,rwd,37070
Nissan,370Z,2015,6,rwd,49400
Nissan,370Z,2015,6,rwd,45270
Nissan,370Z,2015,6,rwd,39270
Nissan,370Z,2015,6,rwd,45490
Nissan,370Z,2015,6,rwd,41990
Nissan,370Z,2015,6,rwd,38370
Nissan,370Z,2015,6,rwd,43290
Nissan,370Z,2016,6,rwd,41820
Nissan,370Z,2016,6,rwd,48100
Nissan,370Z,2016,6,rwd,43290
Nissan,370Z,2016,6,rwd,39270
Nissan,370Z,2016,6,rwd,34870
Nissan,370Z,2016,6,rwd,41990
Nissan,370Z,2016,6,rwd,38370
Nissan,370Z,2016,6,rwd,45270
Nissan,370Z,2016,6,rwd,45490
Nissan,370Z,2016,6,rwd,29990
Nissan,370Z,2016,6,rwd,46570
Nissan,370Z,2016,6,rwd,46790
Nissan,370Z,2016,6,rwd,49400
Nissan,370Z,2016,6,rwd,37070
Nissan,370Z,2016,6,rwd,31290
Nissan,370Z,2016,6,rwd,37970
